SampleName,Catchment,CommonName,ScientificName,Count,Longitude,Latitude,Date
Sample009,9.2,bluegill,Lepomis macrochirus,1,-80.800667,37.54825,7/8/2008
Sample009,9.2,bluehead chub,Nocomis leptocephalus,24,-80.800667,37.54825,7/8/2008
Sample009,9.2,central stoneroller,Campostoma anomalum,27,-80.800667,37.54825,7/8/2008
Sample009,9.2,creek chub,Semotilus atromaculatus,14,-80.800667,37.54825,7/8/2008
Sample009,9.2,fantail darter,Etheostoma flabellare,9,-80.800667,37.54825,7/8/2008
Sample009,9.2,white sucker,Catostomus commersonii,12,-80.800667,37.54825,7/8/2008
Sample047,22.4,bluehead chub,Nocomis leptocephalus,1,-81.024722,37.536222,6/16/2011
Sample047,22.4,central stoneroller,Campostoma anomalum,21,-81.024722,37.536222,6/16/2011
Sample047,22.4,creek chub,Semotilus atromaculatus,65,-81.024722,37.536222,6/16/2011
Sample047,22.4,fantail darter,Etheostoma flabellare,8,-81.024722,37.536222,6/16/2011
Sample047,22.4,green sunfish,Lepomis cyanellus,1,-81.024722,37.536222,6/16/2011
Sample047,22.4,greenside darter,Etheostoma blennioides,1,-81.024722,37.536222,6/16/2011
Sample047,22.4,longnose dace,Rhinichthys cataractae,28,-81.024722,37.536222,6/16/2011
Sample047,22.4,northern hog sucker,Hypentelium nigricans,18,-81.024722,37.536222,6/16/2011
Sample047,22.4,rainbow darter,Etheostoma caeruleum,52,-81.024722,37.536222,6/16/2011
Sample047,22.4,rainbow trout,Oncorhynchus mykiss,156,-81.024722,37.536222,6/16/2011
Sample047,22.4,rosyside dace,Clinostomus funduloides,136,-81.024722,37.536222,6/16/2011
Sample047,22.4,smallmouth bass,Micropterus dolomieu,2,-81.024722,37.536222,6/16/2011
Sample047,22.4,western blacknose dace,Rhinichthys obtusus,8,-81.024722,37.536222,6/16/2011
Sample048,17,creek chub,Semotilus atromaculatus,51,-81.131,37.522278,8/3/2011
Sample048,17,fantail darter,Etheostoma flabellare,64,-81.131,37.522278,8/3/2011
Sample048,17,green sunfish,Lepomis cyanellus,13,-81.131,37.522278,8/3/2011
Sample048,17,rainbow trout,Oncorhynchus mykiss,4,-81.131,37.522278,8/3/2011
Sample048,17,western blacknose dace,Rhinichthys obtusus,127,-81.131,37.522278,8/3/2011
Sample048,17,white sucker,Catostomus commersonii,16,-81.131,37.522278,8/3/2011
Sample049,12.4,bigmouth chub,Nocomis platyrhynchus,1,-81.134694,37.503667,6/15/2011
Sample049,12.4,central stoneroller,Campostoma anomalum,23,-81.134694,37.503667,6/15/2011
Sample049,12.4,creek chub,Semotilus atromaculatus,142,-81.134694,37.503667,6/15/2011
Sample049,12.4,fantail darter,Etheostoma flabellare,167,-81.134694,37.503667,6/15/2011
Sample049,12.4,greenside darter,Etheostoma blennioides,3,-81.134694,37.503667,6/15/2011
Sample049,12.4,longnose dace,Rhinichthys cataractae,13,-81.134694,37.503667,6/15/2011
Sample049,12.4,mountain redbelly dace,Phoxinus oreas,175,-81.134694,37.503667,6/15/2011
Sample049,12.4,western blacknose dace,Rhinichthys obtusus,126,-81.134694,37.503667,6/15/2011
Sample049,12.4,white sucker,Catostomus commersonii,4,-81.134694,37.503667,6/15/2011
Sample062,11.8,central stoneroller,Campostoma anomalum,49,-80.991639,37.626167,7/12/2012
Sample062,11.8,creek chub,Semotilus atromaculatus,152,-80.991639,37.626167,7/12/2012
Sample062,11.8,fantail darter,Etheostoma flabellare,162,-80.991639,37.626167,7/12/2012
Sample062,11.8,mountain redbelly dace,Phoxinus oreas,252,-80.991639,37.626167,7/12/2012
Sample062,11.8,western blacknose dace,Rhinichthys obtusus,89,-80.991639,37.626167,7/12/2012
Sample062,11.8,white sucker,Catostomus commersonii,4,-80.991639,37.626167,7/12/2012
Sample192,49.8,bluegill,Lepomis macrochirus,1,-80.807,37.4008,10/27/2014
Sample192,49.8,bluehead chub,Nocomis leptocephalus,53,-80.807,37.4008,10/27/2014
Sample192,49.8,bluntnose minnow,Pimephales notatus,7,-80.807,37.4008,10/27/2014
Sample192,49.8,central stoneroller,Campostoma anomalum,234,-80.807,37.4008,10/27/2014
Sample192,49.8,fantail darter variant,Etheostoma flabellare,12,-80.807,37.4008,10/27/2014
Sample192,49.8,green sunfish,Lepomis cyanellus,1,-80.807,37.4008,10/27/2014
Sample192,49.8,greenside darter,Etheostoma blennioides,2,-80.807,37.4008,10/27/2014
Sample192,49.8,largemouth bass,Micropterus salmoides,2,-80.807,37.4008,10/27/2014
Sample192,49.8,longnose dace,Rhinichthys cataractae,3,-80.807,37.4008,10/27/2014
